"Vertiba_EUR","Uzvaretajs","Nosaukums","Pretendenti","CPV","x_nozares_mediana","Karogs","IUB_pazinojums","lot_id"
"6401705.02","Sabiedrība ar ierobežotu atbildību ""TILTS""","","2","45000000-7","106","","","426458"
"6400000","SIA ""CHS""","","6","90910000-9","286","","","435358"
"6379000","SIA ""Baltic Construction Company (BCC)""","","4","45000000-7","105","","","374177"
"6351504","UAB “Iksados” gamybinis ir techninis centras","","1","34144700-5","151","","","386680"
"6346800","SIA ""GRANTIŅI 1""","","17","77210000-5","172","","","336751"
"6287450","“Baltic Workboats” AS","","2","34511100-3","150","","","380449"
"6258468.37","Sabiedrība ar ierobežotu atbildību ""Ceļu būvniecības sabiedrība ""IGATE""""","","5","45233120-6","103","","","247731"
"6240901.96","Sabiedrība ar ierobežotu atbildību ""Selva Būve""","","7","45000000-7","103","","","450339"
"6198347","Sabiedrība ar ierobežotu atbildību ""Meditec""","","2","48100000-9","168","","","381879"
"6165180","Sabiedrība ar ierobežotu atbildību ""Bērzi Plus""","","5","77211000-2","167","","","439290"
"6123600","Aizkraukles rajona Daudzeses pagasta zemnieku saimniecība ""VAIROGI""","","16","77210000-5","166","","","337157"
"6058800","Sabiedrība ar ierobežotu atbildību ""INDĀRES""","","9","77210000-5","164","","","336980"
"6055560","SIA ""SINDA & V R""","","9","77211000-2","164","","","443225"
"6000000","Sabiedrība ar ierobežotu atbildību ""ZZ Dats""","","1","72230000-6","145","","","427594"
"5991300","Sabiedrība ar ierobežotu atbildību ""LATEIRA""","","7","77211000-2","162","","","439289"
"5955410.94","CBS Igate SIA","","7","45233120-6","98","","","486902"
"5949785.89","Ceļu būves firma SIA ""BINDERS""","","7","45000000-7","98","","","262866"
"5873200","SIA ""AIMASA""","","3","45000000-7","97","","","433506"
"5858240.29","Akciju sabiedrība ""DAUGAVPILS SPECIALIZĒTAIS AUTOTRANSPORTA UZŅĒMUMS""","","2","90600000-3","261","","","403425"
"5828760","SIA ""PRUNUS""","","9","77211000-2","158","","","443226"
"5779620","SIA ""PRUNUS""","","7","77211000-2","156","","","443227"
"5778896.55","Eksortus UAB","","2","51000000-9","211","","","474267"
"5771249.68","SIA ""TRANZĪTS L""","","2","90610000-6","258","","","384024"
"5767848.88","Sabiedrība ar ierobežotu atbildību ""ASFALTBŪVE""","","10","45233120-6","95","","","472014"
"5689497.97","Ceļu būves firma SIA ""BINDERS""","","2","45200000-9","94","","","425007"
"5655502.84","SIA ""VIA""","","2","45000000-7","93","","","427016"
"5638396.19","Sabiedrība ar ierobežotu atbildību ""ARČERS""","","2","45000000-7","93","","","248248"
"5574551.01","Sabiedrība ar ierobežotu atbildību ""Vianova""","","4","45000000-7","92","","","436250"
"5569868.58","IDEAPORT RIGA AS","","2","72200000-7","135","","","404133"
"5556000","Sabiedrība ar ierobežotu atbildību ""ARMGATE""","","","50000000-5","278","","","475285"
"5556000","Sabiedrība ar ierobežotu atbildību ""ARMGATE""","","1","50000000-5","278","","","477705"
"5490000","SIA ""AIDACO CONSTRUCTION""","","2","45000000-7","91","","","376232"
"5441480","SIA ""Ditra Networks""","","3","45315300-1","90","","","372664"
"5415459.54","SIA ""Industry Service Partner""","","3","45232421-9","89","","","413379"
"5400000","Akciju sabiedrība ""Latvijas valsts meži""","","1","44212224-5","245","","","399001"
"5378932.56","Pilnsabiedrība ""LCB""","","1","45000000-7","89","","","345416"
"5376773.46","Sabiedrība ar ierobežotu atbildību ""Vianova""","","7","45233120-6","89","","","503600"
"5350003.88","Sabiedrība ar ierobežotu atbildību ""AMMZ pakalpojumi""","","19","77210000-5","145","","","403867"
"5349327.2","Valsts akciju sabiedrība ""Latvijas autoceļu uzturētājs""","","3","45000000-7","88","","","424860"
"5329534.48","SIA ""MONUM""","","4","45000000-7","88","","","358142"
"5317213.81","SIA SC GRUPA","","7","45000000-7","88","","","255580"
"5315300","Akciju sabiedrība ""Latvenergo""","","3","09310000-5","127","","","250523"
"5310172.35","SIA ""Industry Service Partner""","","2","42961200-2","278","","","374990"
"5263044.27","Sabiedrība ar ierobežotu atbildību ""KVADRUM""","","3","45000000-7","87","","","250634"
"5256441.84","Sabiedrība ar ierobežotu atbildību ""Mācību centrs MKB""","","1","85312000-9","123","","","493098"
"5249000","SIA Olnio","","2","38520000-6","625","","","473993"
"5239874.79","SIA ""RMC Architectural Management""","","","","5239875","","","483530"
"5226982.89","SIA ""LC būve""","","8","45000000-7","86","","","385593"
"5217762.43","SIA ""P.M.G.""","","12","45213200-5","86","","","454318"
"5204278","Compensa Life Vienna Insurance Group SE Latvijas filiāle","","1","66512200-4","135","","","257107"
"5203886","Sabiedrība ar ierobežotu atbildību ""JĀDE""","","7","60100000-9","183","","","380268"
"5189412","Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","","5","55524000-9","48","","","248622"
"5183333","Pillar Contractor, SIA","","2","45252100-9","86","","","479896"
"5183037.5","SIA Stiga RM Transports","","12","60100000-9","183","","","464751"
"5142857.16","Air France / KLM / MP Cargo","","7","60411000-2","181","","","497484"
"5100000","Sabiedrība ar ierobežotu atbildību ""Latvijas Lauku konsultāciju un izglītības centrs""","","1","80400000-8","463","","","253129"
"5099868.72","Sabiedrība ar ierobežotu atbildību ""ACBR""","","6","45233220-7","84","","","511092"
"5072374.64","Sabiedrība ar ierobežotu atbildību ""KVADRUM""","","3","45000000-7","84","","","256084"
"5070093.5","Sabiedrība ar ierobežotu atbildību ""CNC""","","2","55524000-9","47","","","452822"
"5069000","Akciju sabiedrība ""Latvenergo""","","7","09310000-5","121","","","497798"
"5055020.48","Sabiedrība ar ierobežotu atbildību ""RERE MEISTARI""","","3","45000000-7","83","","","86221"
"5047591","Compensa Life Vienna Insurance Group SE Latvijas filiāle","","1","66512200-4","131","","","487106"
"5039291.76","Sabiedrība ar ierobežotu atbildību ""ACBR""","","7","45230000-8","83","","","514573"
"5038310.01","SIA ""AIMASA""","","6","45000000-7","83","","","482760"
